name,designation,company,industry,email,phonenumber,country
Yves Semaine,Research Associate,Skinte,n/a,ysemaine0@constantcontact.com,611-712-7657,Madagascar
Deborah Buggs,VP Quality Control,Demizz,n/a,dbuggs1@biglobe.ne.jp,707-792-9038,Egypt
Margareta Akeherst,Geologist I,Brainlounge,Natural Gas Distribution,makeherst2@parallels.com,100-766-9860,Greece
Kerby Dyett,Senior Developer,Yotz,n/a,kdyett3@businesswire.com,948-365-2867,Peru
Cindy Roddell,Administrative Officer,Yodo,n/a,croddell4@walmart.com,200-908-7393,China
Dannye Anfonsi,Office Assistant I,Jabberbean,Advertising,danfonsi5@nyu.edu,919-374-9895,Russia
Wheeler Scough,Technical Writer,Tagcat,Major Pharmaceuticals,wscough6@google.it,514-656-0535,New Zealand
Dylan Eastmond,Structural Analysis Engineer,Voomm,Oil/Gas Transmission,deastmond7@canalblog.com,891-965-0879,China
Korry Selburn,Civil Engineer,Yamia,Real Estate Investment Trusts,kselburn8@usgs.gov,799-949-5488,Japan
Caitrin Corrigan,Internal Auditor,Cogilith,Semiconductors,ccorrigan9@miitbeian.gov.cn,339-216-6793,Indonesia
Jeramey Ruspine,Staff Accountant I,Yozio,Home Furnishings,jruspinea@friendfeed.com,477-975-6809,Brazil
Alysa Dybell,Internal Auditor,Livetube,n/a,adybellb@ehow.com,624-766-2570,Croatia
Cherilyn Schwier,Systems Administrator IV,Vinte,Savings Institutions,cschwierc@stanford.edu,981-984-1822,Indonesia
Faustine Smallshaw,Research Assistant II,Jaxnation,Oilfield Services/Equipment,fsmallshawd@uol.com.br,946-317-6034,Philippines
Gauthier Geockle,Director of Sales,Kwideo,Oil & Gas Production,ggeocklee@ucsd.edu,862-306-3897,Cuba
Conway Reddoch,Recruiting Manager,Gevee,Major Banks,creddochf@state.gov,734-551-0731,Cameroon
Ulises Aleso,Executive Secretary,Fatz,Recreational Products/Toys,ualesog@pinterest.com,817-118-6640,Benin
Cassie Muscat,Administrative Officer,Jaxspan,Savings Institutions,cmuscath@omniture.com,331-986-2397,Indonesia
Ingemar Sissland,Marketing Assistant,Babbleopia,Computer Manufacturing,isisslandi@reverbnation.com,714-167-6212,Brazil
Nichol Leverett,Systems Administrator II,Leenti,Integrated oil Companies,nleverettj@nytimes.com,880-548-8116,China
Rozelle Perree,Civil Engineer,Shuffledrive,Homebuilding,rperreek@addtoany.com,433-342-7249,China
Rad Folkes,Account Representative II,Yodo,Marine Transportation,rfolkesl@china.com.cn,898-786-3686,Russia
Skippy Flament,Design Engineer,Photobean,EDP Services,sflamentm@nifty.com,609-397-7062,France
Sophia Markovic,Quality Engineer,Meevee,Containers/Packaging,smarkovicn@theglobeandmail.com,640-314-2378,China
