name,designation,company,industry,email,phonenumber,country
Emma Miller,designation,TruServ Corporation,industry,nij@apha.so,7014662050,GN
Carlos Hammond,designation,Simon Property Group Inc,industry,ukewil@tolpoh.np,7014662050,US
Eric Bell,designation,Cendant Corp,industry,jivur@juh.sm,816582555,CM
Bernice Gutierrez,designation,Hilton Hotels Corp.,industry,zemig@ozile.au,81698565,RS
Brandon Ellis,designation,Great Plains Energy Inc.,industry,izu@suh.ug,45621455,UM
Belle Salazar,designation,Micron Technology Inc.,industry,sejhevrez@sitzu.st,4595225565,LA
Sophie Payne,designation,Potomac Electric Power Co.,industry,zaetoje@jublac.cl,45465465,CW
Francis Lewis,designation,Hub Group Inc.,industry,po@ro.bd,555455155,JP

